brand_id,brand::ar,brand::en,brand_info_story::ar,brand_info_story::en,branded_vs_private_label,brand_owner::en,is_valid,brand_owner::ar,brand_owner::ku,brand::ku,brand_info_story::ku,brand_type::en
555,555,555,,,,555,True,,,,,
777,777,777,,,,,True,,,,,
1883,1883,1883,,,,1883,True,,,,,
1_1,1&1,1&1,,,,1&1,True,,,,,
10_rounds,10 Rounds,10 Rounds,,,,10 ROUNDS,True,,,,,
101caffe,101Caffe,101Caffe,,,,101CAFFE,True,,,,,
3_chenes,3 Chenes,3 Chenes,,,,3 CHENES,True,,,,,
3_horses,3 Horses,3 Horses,,,,3 HORSES,True,,,,,
38_oud,38 Oud,38 Oud,,,,38 Oud,True,,,,,
3m,3M,3M,,,,3M,True,,,,,
4700_bc,4700 BC,4700 BC,,,,4700 BC,True,,,,,
7up,,7Up,,,,Pepsico,True,,,,,
8x4,8X4,8X4,,,,Beiersdorf,True,,,,,
9lives,9Lives,9Lives,,,,9Lives,True,,,,,
a_bonne,A Bonne,A Bonne,,,,A BONNE,True,,,,,
a_1,A.1,A.1,,,,A.1,True,,,,,
a_rayaf,A'Rayaf,A'Rayaf,,,,A'RAYAF,True,,,,,
a2z_blaze,A2Z Blaze,A2Z Blaze,,,,A2Z Blaze,True,,,,,
aachi,Aachi,Aachi,,,,AACHI,True,,,,,
aardee,Aardee,Aardee,,,,Aardee,True,,,,,
aashirvaad,Aashirvaad,Aashirvaad,,,,AASHIRVAAD,True,,,,,
abaan,Abaan,Abaan,,,,ABAAN,True,,,,,
abaya,Abaya,Abaya,,,,ABAYA,True,,,,,
abbott,Abbott,Abbott,,,,Abbott,False,,,,,
abevia,Abevia,Abevia,,,,ABEVIA,True,,,,,
abraaj,Abraaj,Abraaj,,,,ABRAAJ,True,,,,,
absolute_organic,Absolute Organic,Absolute Organic,,,,ABSOLUTE ORGANIC,True,,,,,
abu_kass,Abu Kass,Abu Kass,,,,ABU KASS,True,,,,,
abyar,Abyar,Abyar,,,,ABYAR,True,,,,,
accu_home,Accu Home,Accu Home,,,,ACCU HOME,True,,,,,
acdelco,Acdelco,Acdelco,,,,ACDELCO,True,,,,,
aceite_de_manzanilla,Aceite De Manzanilla,Aceite De Manzanilla,,,,ACEITE DE MANZANILLA,True,,,,,
aci_pure,Aci Pure,Aci Pure,,,,ACI Limited,True,,,,,
acnevit,AcneVit,AcneVit,,,,ACNEVIT,True,,,,,
acord,Acord,Acord,,,,ACORD,True,,,,,
acorsa,Acorsa,Acorsa,,,,ACORSA,True,,,,,
acqua_eva,Acqua Eva,Acqua Eva,,,,ACQUA EVA,True,,,,,
acqua_morelli,Acqua Morelli,Acqua Morelli,,,,ACQUA MORELLI,True,,,,,
acqua_panna,Acqua Panna,Acqua Panna,,,,Nestle,True,,,,,
actimel,Actimel,Actimel,,,,Danone,True,,,,,
action,Action,Action,,,,ACTION,True,,,,,
active_o2,Active O2,Active O2,,,,ACTIVE O2,True,,,,,
activia,Activia,Activia,,,,Danone,True,,,,,
acure,Acure,Acure,,,,ACURE,True,,,,,
adams_food,Adams Food,Adams Food,,,,ADAMS FOOD,True,,,,,
adidas,Adidas,Adidas,,,,Coty Consumer,True,,,,,
adios,Adios,Adios,,,,ADIOS,True,,,,,
adol,Adol,Adol,,,,Julphar,True,,,,,
adriana,Adriana,Adriana,,,,ADRIANA,True,,,,,
aero,Aero,Aero,,,,,True,,,,,
aeroplane,Aeroplane,Aeroplane,,,,AEROPLANE,True,,,,,
afia,Afia,Afia,,,,Savola,True,,,,,
african_essence,African Essence,African Essence,,,,AFRICAN ESSENCE,True,,,,,
after_eight,After Eight,After Eight,,,,Nestle,True,,,,,
aftershocks,Aftershocks,Aftershocks,,,,AFTERSHOCKS,True,,,,,
agrilife,Agrilife,Agrilife,,,,AGRILIFE,True,,,,,
agros,Agros,Agros,,,,AGROS,True,,,,,
ahlia,Ahlia,Ahlia,,,,AHLIA,True,,,,,
ahmad_tea,Ahmad Tea,Ahmad Tea,,,,AHMAD TEA,True,,,,,
ahmed_foods,Ahmed Foods,Ahmed Foods,,,,AHMED FOODS,True,,,,,
ahsan,Ahsan,Ahsan,,,,AHSAN,True,,,,,
aichun_beauty,Aichun Beauty,Aichun Beauty,,,,AICHUN BEAUTY,True,,,,,
aida,Aida,Aida,,,,AIDA,True,,,,,
air_queen,Air Queen,Air Queen,,,,AIR QUEEN,True,,,,,
airboss,Airboss,Airboss,,,,Airboss,True,,,,,
airheads,Airheads,Airheads,,,,Perfetti Van Melle,True,Perfetti Van Melle,,,,
airlux,Airlux,Airlux,,,,AIRLUX,True,,,,,
aji_no_moto,Aji-No-Moto,Aji-No-Moto,,,,AJI-NO-MOTO,False,,,,,
akbar,Akbar,Akbar,,,,AKBAR,True,,,,,
aklena,Aklena,Aklena,,,,AKLENA,True,,,,,
